ID,Запрос,Частотность,Wordstat подтверждён,Исходный запрос,Период,Кластер,Подкластер,Интент,Тип страницы,Продукт,Коммерческий потенциал,Приоритет,Волна,Целевой URL,Статус,Источник,Примечание
155,строительный контроль в смете,252,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelnyi-kontrol-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
156,инженерные сети строительство исполнительная документация,251,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/inzhenernye-seti-stroitelstvo-ispolnitelnaya-dokumentaciya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
157,исполнительная техническая документация при строительстве объектов,248,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-tehnicheskaya-dokumentaciya-pri-stroitelstve-obektov/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
158,смета на строительные работы бесплатно,242,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/smeta-na-stroitelnye-raboty-besplatno/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
159,гарантийные удержания в 1с 8.3,238,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,1,3,3 — расширение,/baza-znanii/garantiinye-uderzhaniya-v-1s-8-3/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
160,строительно ремонтные сметы,238,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelno-remontnye-smety/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
161,смета строительных расходов,233,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/smeta-stroitelnyh-rashodov/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
162,вес строительного мусора в смете,231,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/ves-stroitelnogo-musora-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
163,работы выполнены подрядчиком заказчик не оплатил,227,Да,заказчик не оплачивает выполненные работы,19.06.2026 – 18.07.2026,Неоплата,Взыскание оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/raboty-vypolneny-podryadchikom-zakazchik-ne-oplatil/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
164,что входит в исполнительную документацию в строительстве,223,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/chto-vhodit-v-ispolnitelnuyu-dokumentaciyu-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
165,программа для сметы строительных,219,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/programma-dlya-smety-stroitelnyh/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
166,требования к исполнительной документации в строительстве,208,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/trebovaniya-k-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
167,исполнительная документация в строительстве 2026,208,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve-2026/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
168,исполнительно техническая документация в строительстве,207,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelno-tehnicheskaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
169,оплата гарантийного удержания,206,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/oplata-garantiinogo-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
170,строительно ремонтные работы смета,206,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelno-remontnye-raboty-smeta/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
171,локальная смета строительные,206,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/lokalnaya-smeta-stroitelnye/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
172,погрузка строительного мусора расценка в смете,202,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/pogruzka-stroitelnogo-musora-rascenka-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
173,строительная смета онлайн,198,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelnaya-smeta-onlain/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
174,учет гарантийного удержания,193,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/uchet-garantiinogo-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
175,мусор строительный вес 1 м3 в смете,190,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/musor-stroitelnyi-ves-1-m3-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
176,образец дополнительных работ в строительстве,189,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/obrazec-dopolnitelnyh-rabot-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
177,леса строительные расценка в смете,187,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/lesa-stroitelnye-rascenka-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
178,реестр исполнительной документации в строительстве,183,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/reestr-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
179,письмо гарантийное удержание,183,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/pismo-garantiinoe-uderzhanie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
180,рд 11 исполнительная документация в строительстве,181,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/rd-11-ispolnitelnaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
181,смета строительного объекта,181,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/smeta-stroitelnogo-obekta/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
182,образец договора субподряда на выполнение строительных работ,179,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/obrazec-dogovora-subpodryada-na-vypolnenie-stroitelnyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
183,рд исполнительная документация в строительстве 2006,178,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/rd-ispolnitelnaya-dokumentaciya-v-stroitelstve-2006/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
184,выполнение дополнительных работ в строительстве,173,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/vypolnenie-dopolnitelnyh-rabot-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
185,заключение договоров субподряда,172,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/zaklyuchenie-dogovorov-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
186,исполнительная геодезическая документация в строительстве,171,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-geodezicheskaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
187,шаблон строительной сметы,170,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/shablon-stroitelnoi-smety/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
188,строительные организации смета,169,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelnye-organizacii-smeta/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
189,исполнительная документация организация строительства,167,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-organizaciya-stroitelstva/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
190,договор субподряда образец скачать,166,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/dogovor-subpodryada-obrazec-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
191,сумма договора субподряда,166,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/summa-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
192,скачать договор субподряда на выполнение работ,159,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/skachat-dogovor-subpodryada-na-vypolnenie-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
193,исполнение договора субподряда,156,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/ispolnenie-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
194,заказчик не оплачивает акты выполненных работ,154,Да,заказчик не оплачивает выполненные работы,19.06.2026 – 18.07.2026,Неоплата,Взыскание оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/zakazchik-ne-oplachivaet-akty-vypolnennyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
195,условия договора субподряда,154,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/usloviya-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
196,заказчик не оплачивает выполненные работы по договору,152,Да,заказчик не оплачивает выполненные работы,19.06.2026 – 18.07.2026,Неоплата,Взыскание оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/zakazchik-ne-oplachivaet-vypolnennye-raboty-po-dogovoru/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
197,договор субподряда ооо и ооо,151,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-ooo-i-ooo/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
198,состав исполнительной документации в строительстве 2025,149,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/sostav-ispolnitelnoi-dokumentacii-v-stroitelstve-2025/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
199,договор строительного субподряда скачать,148,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/dogovor-stroitelnogo-subpodryada-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
200,договор субподряда на строительные работы скачать,148,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/dogovor-subpodryada-na-stroitelnye-raboty-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
201,скачать договор субподряда на выполнение строительных работ,148,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/skachat-dogovor-subpodryada-na-vypolnenie-stroitelnyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
202,договор субподряд строительство,144,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryad-stroitelstvo/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
203,договор субподряда оплата,144,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-oplata/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
204,исполнительная документация в строительстве расшифровка,143,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve-rasshifrovka/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
205,подготовка исполнительной документации в строительстве,143,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/podgotovka-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
206,гарантийное удержание в кс,143,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/garantiinoe-uderzhanie-v-ks/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
207,ведение исполнительной документации по объекту строительства,142,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/vedenie-ispolnitelnoi-dokumentacii-po-obektu-stroitelstva/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
208,программа для исполнительной документации в строительстве,141,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/programma-dlya-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
209,исполнительная документация в строительстве пример,140,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/ispolnitelnaya-dokumentaciya-v-stroitelstve-primer/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
210,договор с ип субподряд,140,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-s-ip-subpodryad/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
211,договор строительного субподряда образец скачать,140,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,3,3 — расширение,/materialy/dogovor-stroitelnogo-subpodryada-obrazec-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
212,формы исполнительной документации в строительстве,138,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/formy-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
213,исполнительная документация в строительстве 2023,137,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve-2023/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
214,виды исполнительной документации в строительстве,137,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/vidy-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
215,гарантийное удержание по договору подряда что это,137,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/garantiinoe-uderzhanie-po-dogovoru-podryada-chto-eto/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
216,договор подряда и субподряда,137,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-podryada-i-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
217,исполнительная документация в строительстве минстрой,136,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve-minstroi/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
218,исполнительная документация законченного строительства,136,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-zakonchennogo-stroitelstva/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
219,гарантийное удержание 5,134,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/garantiinoe-uderzhanie-5/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
220,выплата гарантийных удержаний,131,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/vyplata-garantiinyh-uderzhanii/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
221,электронная исполнительная документация в строительстве,130,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/elektronnaya-ispolnitelnaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
222,аорпи расшифровка в исполнительной документации в строительстве,128,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/aorpi-rasshifrovka-v-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
223,исполнительная документация строительство правила,126,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-stroitelstvo-pravila/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
224,зачет гарантийного удержания,126,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/zachet-garantiinogo-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
225,в соответствии с договором субподряда,126,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/v-sootvetstvii-s-dogovorom-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
226,договор субподряда рф,125,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-rf/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
227,расторжение договора субподряда,123,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/rastorzhenie-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
228,гост исполнительная геодезическая документация в строительстве,122,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/gost-ispolnitelnaya-geodezicheskaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
229,удержание гарантийных обязательств,121,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/uderzhanie-garantiinyh-obyazatelstv/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
230,исполнительная документация в строительстве акты работ,120,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve-akty-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
231,договор субподряда по 44 фз,120,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-po-44-fz/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
232,гарантийные удержания по договору строительного,118,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/garantiinye-uderzhaniya-po-dogovoru-stroitelnogo/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
233,акт на дополнительные работы в строительстве образец,117,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/akt-na-dopolnitelnye-raboty-v-stroitelstve-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
234,договор субподряда между ооо,115,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-mezhdu-ooo/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
235,исполнительная документация в строительстве скачать,114,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/ispolnitelnaya-dokumentaciya-v-stroitelstve-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
